pV_FFA_P_inst;pV_DACH_P_inst;storage_ffa_E_max;storage_dach_E_max;Wind_P_el_n;CAPEX;one_minus_oa_times_oc
8238644.551953407;3188036.730178324;154247934013.63834;20068087568.505005;16075819.931734428;30720788.006894782;0.2959545174068676
40171633.82399956;6184901.204691876;175577380514.14175;20902218538.68447;10688496.641833842;46944475.42366998;0.2592748088684519
18039532.247152556;4768568.860709705;9072563870.869642;5597609984.36943;16344792.29333142;27328406.361606393;0.24836124948477056
69145443.21914834;18882788.211315926;171632718210.81213;49759593010.52337;13530785.592794912;80049804.61199299;0.2167558837588509
77344990.17037585;15583507.919528192;43709737093.36921;47205868918.85579;10833934.789585557;71366143.5074891;0.23619270451995744
51308452.56088909;17954596.122526206;103241539226.4803;68316634773.33691;4543880.471638412;62240795.32113414;0.33582094092762727
29471053.82252399;13747219.121304547;102469355043.18898;54099577745.89182;11025554.885823272;49958484.386262804;0.2593599772532339
22658026.36249021;15746967.49327;160550080909.01343;201437408.5608865;8828574.344426014;42644837.79007994;0.2871175013299304
18495771.587548923;13886300.908896387;102070122592.01663;24688649877.09969;1298848.0116333829;33207864.22721621;0.4861824199165331
29527239.60786868;10995679.097680142;35634671221.4721;42775618352.97384;2153879.4296697327;35295470.535194926;0.4365064080401303
36497622.204231694;15263035.120132213;152569218938.8416;66850432027.02616;14042908.070932468;61804877.220247805;0.22859156561787208
19762003.662287325;7988717.7307833275;169784384023.66;63754203596.37378;10104749.986790057;43735498.330608115;0.2878119933229992
33670009.00681044;6525.462315042023;41573552880.237206;70684735540.86542;8668238.824855369;35469675.29171738;0.2960175275760494
60074031.431507625;10755531.084423197;17480390678.66774;10738695575.768803;2235898.8760058824;44932089.26929752;0.4036489719400127
45379266.26118217;7795226.188557442;128586444282.57448;67310446523.75088;1713276.8143397402;48262181.40723398;0.43702028998285203
1066233.1331057628;3652378.076301117;10471906055.55734;54349036329.09959;10618767.056448312;20279819.761762805;0.4544699550107554
1025769.6387188789;8241885.700879812;9341914857.544312;1558005599.0310276;12532911.217380464;18889838.86967026;0.34778253416415095
52314423.09520181;203279.3632759911;101902278508.33713;66138746195.28926;4504689.986952967;44586183.06756719;0.346750437659076
85542940.47450711;11628319.061012222;130527268617.11131;64633136379.09235;16141763.28146456;82734451.1796332;0.19934492938630066
41293169.094127394;12477830.55548486;68253647554.94413;55431695204.135216;6968427.444269548;49841451.55048862;0.29847087506174896
66985095.7243193;18237133.31219993;21835544226.41059;11475728537.604755;14480334.84191084;65396869.281927295;0.21151254646451823
63044592.04028326;9851709.191018036;81466106445.60037;44016785160.50384;14013206.23065111;62523247.07008467;0.21873925706220843
46402237.2312827;8527092.454452151;112408288598.01045;22801622528.306908;4620415.578156187;44605319.693642735;0.3434458245315296
43280214.57700929;3267196.7518335255;111445985135.86505;31018804503.00953;14491887.50114327;46275830.57693945;0.2295076159002446
86670732.58253318;9352936.702981854;119719064800.05885;37276598505.90191;7545320.058790678;70175657.54194221;0.27097766000819223
99569252.071981;4189311.5076453234;7069105782.183604;38077378013.00572;5451088.701509932;63743506.892807044;0.3020952883611572
23355113.903379425;18799443.681666154;131539967330.74648;45316293512.30886;14769758.553877477;55156025.166070566;0.23136337358914916
85196830.81250927;3109925.423888765;17718722717.24732;17424516506.492325;16933955.99966355;61813253.051195405;0.19716788529223728
61849159.232132845;16676102.66346373;4468142877.401133;62914207370.57283;15169247.17487377;67963932.1775651;0.20961623077576985
99661383.16269816;17357157.214065842;94655141989.52744;13169449122.918612;15902335.743233029;86202309.7582188;0.19724179376112372
83230279.41978642;12959770.122903544;68569010080.46349;39716023994.82184;11154853.400920492;72266553.77612701;0.23264605888421697
53987601.15042468;10758216.732425496;3161167815.0838203;44606985613.004974;9561554.417486368;51294218.22339686;0.25874718208056435
77694224.0425383;11849367.344301319;64867915889.257614;12509557931.54819;7257346.148221767;61480700.683299474;0.27684107544489855
12928730.64333368;15862.246121026115;28347835429.337746;44956388185.85856;10706076.445558324;22328607.451622397;0.3342470061884275
57547083.9982116;11464154.937282853;146846218895.898;32973399135.822334;9146360.31556573;59835229.2139215;0.2609596739344936
58275335.627392545;2297434.3260437013;122063737407.08646;49988415945.91144;1721728.4729916104;46450552.78736508;0.42873630549800457
58257723.23755296;10391110.29386584;44897535699.70319;68851140552.05421;545195.4882382947;51985834.47770097;0.4692406029558862
42288482.70271058;5590302.7883264525;175513540897.61362;28694554695.42453;13943633.106778583;50928376.06066429;0.23201643381705472
54708835.05537579;14615656.784696732;173130749619.0826;31554802127.08286;6838846.002222268;61100195.199428536;0.2906539177207662
92167370.03570186;3995715.601219318;33014873729.15582;37896885928.42898;13044886.618883641;66960681.61380121;0.21786749570435937
66588160.285868324;1957701.3608995685;122745053413.9444;47121806811.36341;3409360.183291131;51172666.66587724;0.36461620145818785
